epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2389.4,0.89702,1.075,1.43541,0.409,0.43627,0.38344,0.31502,1.23437,1.39286,1.61974,0.000848969,0.000848969,0.000848969
43,2459.93,0.90919,1.09306,1.44521,0.44385,0.45022,0.39833,0.31515,1.28545,1.40305,1.64673,0.000834822,0.000834822,0.000834822
44,2528.09,0.89028,1.07175,1.42989,0.44976,0.4597,0.39806,0.32315,1.26698,1.38289,1.61981,0.000820675,0.000820675,0.000820675
45,2596.38,0.88007,1.05356,1.4219,0.46434,0.47,0.39872,0.3218,1.28945,1.34296,1.63531,0.000806528,0.000806528,0.000806528
46,2666.58,0.87876,1.06005,1.4225,0.45457,0.45614,0.3941,0.31467,1.22053,1.32828,1.59534,0.00079238,0.00079238,0.00079238
47,2734.26,0.8833,1.04487,1.42197,0.41135,0.44365,0.39439,0.315,1.27346,1.4099,1.64793,0.000778233,0.000778233,0.000778233
48,2803.27,0.87299,1.04045,1.41078,0.47269,0.45153,0.39671,0.32041,1.24988,1.37024,1.62939,0.000764086,0.000764086,0.000764086
49,2876.78,0.86688,1.05314,1.41467,0.46502,0.4794,0.39533,0.31118,1.29228,1.39418,1.66819,0.000749939,0.000749939,0.000749939
50,2945.7,0.85692,1.0336,1.40661,0.45829,0.48458,0.40252,0.32149,1.26737,1.41052,1.63305,0.000735792,0.000735792,0.000735792
51,3023.21,0.85205,1.03406,1.40473,0.4575,0.45329,0.39135,0.31673,1.26401,1.31714,1.65734,0.000721645,0.000721645,0.000721645
52,3100.73,0.86522,1.04388,1.41071,0.45681,0.45918,0.3957,0.32502,1.23432,1.3208,1.61506,0.000707498,0.000707498,0.000707498
53,3175.71,0.85177,1.01447,1.39645,0.4729,0.45704,0.39584,0.32321,1.23597,1.33888,1.59858,0.000693351,0.000693351,0.000693351
54,3253.62,0.85585,1.02701,1.40426,0.48066,0.46519,0.4087,0.32543,1.25024,1.36482,1.62175,0.000679204,0.000679204,0.000679204
55,3332.53,0.85022,1.02173,1.40266,0.43149,0.46694,0.39033,0.31368,1.30146,1.41708,1.66796,0.000665057,0.000665057,0.000665057
56,3411.9,0.84031,1.01481,1.40226,0.45788,0.46991,0.40204,0.32304,1.21276,1.35082,1.59383,0.000650909,0.000650909,0.000650909
57,3490.95,0.83993,1.01296,1.3991,0.46989,0.46002,0.4062,0.32556,1.216,1.32013,1.58657,0.000636762,0.000636762,0.000636762
58,3570.93,0.82992,0.99696,1.38406,0.47843,0.46112,0.40074,0.32609,1.20087,1.34511,1.56432,0.000622615,0.000622615,0.000622615
59,3652.49,0.84063,1.00766,1.3966,0.46153,0.4747,0.40276,0.3263,1.23944,1.32992,1.60992,0.000608468,0.000608468,0.000608468
60,3732.82,0.82992,0.98947,1.3795,0.47453,0.45436,0.39328,0.32344,1.23213,1.37574,1.61135,0.000594321,0.000594321,0.000594321
61,3810.62,0.82836,0.99864,1.38417,0.46934,0.46221,0.40202,0.32573,1.19258,1.31968,1.57563,0.000580174,0.000580174,0.000580174
62,3886.03,0.83088,0.98355,1.38204,0.45857,0.47085,0.4018,0.32215,1.22737,1.30898,1.6085,0.000566027,0.000566027,0.000566027
63,3954.58,0.82887,0.99099,1.3774,0.47245,0.4767,0.40943,0.3269,1.2178,1.33897,1.57756,0.00055188,0.00055188,0.00055188
64,4047.3,0.82042,0.98082,1.38075,0.45518,0.47322,0.40055,0.31666,1.22399,1.31784,1.59422,0.000537733,0.000537733,0.000537733
65,4141.94,0.81303,0.96544,1.37288,0.46725,0.46273,0.40631,0.32693,1.20014,1.31908,1.57762,0.000523586,0.000523586,0.000523586
66,4224.91,0.80406,0.95768,1.36061,0.45214,0.47209,0.39617,0.32424,1.22559,1.33075,1.58995,0.000509438,0.000509438,0.000509438
67,4304.45,0.81603,0.9757,1.36468,0.43534,0.45642,0.39323,0.32538,1.20419,1.30595,1.55466,0.000495291,0.000495291,0.000495291
68,4368.27,0.81398,0.96236,1.36717,0.47846,0.48066,0.40857,0.32873,1.21402,1.27506,1.56242,0.000481144,0.000481144,0.000481144
69,4445,0.7993,0.95621,1.3628,0.46311,0.47401,0.41286,0.32839,1.21253,1.28037,1.57559,0.000466997,0.000466997,0.000466997
70,4527.19,0.79897,0.95529,1.35951,0.46905,0.47386,0.40664,0.32409,1.19901,1.2836,1.57347,0.00045285,0.00045285,0.00045285
71,4587.19,0.79467,0.95292,1.35292,0.4887,0.48816,0.41362,0.32495,1.2184,1.3226,1.6152,0.000438703,0.000438703,0.000438703
72,4645.62,0.78177,0.93428,1.34547,0.48579,0.48412,0.40903,0.33094,1.18756,1.27195,1.55714,0.000424556,0.000424556,0.000424556
73,4707.53,0.79598,0.94498,1.3595,0.46708,0.46212,0.40574,0.32631,1.18408,1.30046,1.55199,0.000410409,0.000410409,0.000410409
74,4769.84,0.78769,0.93384,1.35013,0.48316,0.47952,0.40956,0.32819,1.19549,1.29066,1.57219,0.000396262,0.000396262,0.000396262
75,4831.84,0.80113,0.94261,1.35731,0.46902,0.483,0.4088,0.33067,1.18973,1.2836,1.54794,0.000382115,0.000382115,0.000382115
76,4893.89,0.79821,0.94769,1.35974,0.47112,0.49164,0.40169,0.32616,1.18868,1.29989,1.55154,0.000367967,0.000367967,0.000367967
77,4956.12,0.7796,0.92854,1.34454,0.45195,0.45828,0.40644,0.33071,1.17544,1.30001,1.56025,0.00035382,0.00035382,0.00035382
78,5020.92,0.78362,0.92172,1.34557,0.47922,0.4799,0.40411,0.32967,1.18386,1.30757,1.55082,0.000339673,0.000339673,0.000339673
79,5084.28,0.78072,0.92229,1.34885,0.47043,0.48016,0.4035,0.3277,1.17022,1.29143,1.54433,0.000325526,0.000325526,0.000325526
80,5147.58,0.77252,0.91894,1.33553,0.46799,0.48388,0.40007,0.32873,1.18793,1.31316,1.5492,0.000311379,0.000311379,0.000311379
81,5209.99,0.76777,0.91886,1.3387,0.47816,0.50349,0.40897,0.3307,1.1745,1.29913,1.53262,0.000297232,0.000297232,0.000297232
82,5272.08,0.76881,0.90396,1.33078,0.47701,0.4621,0.404,0.33034,1.16943,1.25691,1.53948,0.000283085,0.000283085,0.000283085
83,5334.7,0.75643,0.9042,1.32639,0.46896,0.48182,0.40229,0.32645,1.16936,1.27057,1.53869,0.000268938,0.000268938,0.000268938
84,5396.93,0.75538,0.89451,1.32354,0.46084,0.48781,0.39962,0.32656,1.1698,1.28076,1.53891,0.000254791,0.000254791,0.000254791
85,5459.13,0.76003,0.90424,1.3282,0.46349,0.48543,0.41116,0.32966,1.17852,1.27224,1.56339,0.000240644,0.000240644,0.000240644
86,5529.1,0.75889,0.90079,1.32498,0.45877,0.49322,0.40233,0.32785,1.17714,1.27529,1.55442,0.000226497,0.000226497,0.000226497
87,5605.71,0.75374,0.88973,1.32208,0.46569,0.49113,0.40621,0.32885,1.17341,1.27047,1.54556,0.000212349,0.000212349,0.000212349
88,5681.48,0.75649,0.89438,1.32586,0.46736,0.49785,0.40303,0.32877,1.1771,1.29405,1.55504,0.000198202,0.000198202,0.000198202
89,5757.31,0.75279,0.89153,1.32328,0.4746,0.50079,0.4083,0.33189,1.167,1.28553,1.532,0.000184055,0.000184055,0.000184055
90,5833.34,0.74955,0.89114,1.31999,0.48399,0.48286,0.40663,0.33155,1.15328,1.283,1.52698,0.000169908,0.000169908,0.000169908
91,5906.39,0.89627,1.0855,1.4707,0.47613,0.47475,0.40479,0.32727,1.1835,1.29501,1.56076,0.000155761,0.000155761,0.000155761
92,5980.36,0.86166,1.01998,1.43779,0.47838,0.49421,0.40877,0.32828,1.18464,1.27934,1.54823,0.000141614,0.000141614,0.000141614
93,6048.77,0.85333,1.00823,1.42943,0.48582,0.48821,0.41061,0.32833,1.17895,1.2728,1.55096,0.000127467,0.000127467,0.000127467
94,6112.6,0.84801,0.99932,1.42758,0.47465,0.50413,0.40458,0.32693,1.16316,1.29069,1.53449,0.00011332,0.00011332,0.00011332
95,6176.27,0.832,0.98229,1.41662,0.47967,0.4973,0.40103,0.32972,1.1505,1.27915,1.53403,9.91726e-05,9.91726e-05,9.91726e-05
96,6239.99,0.82938,0.97162,1.41444,0.48549,0.49613,0.40496,0.33134,1.14973,1.27404,1.53076,8.50255e-05,8.50255e-05,8.50255e-05
97,6303.94,0.83378,0.97182,1.41345,0.48675,0.4954,0.40534,0.32925,1.1519,1.27829,1.53058,7.08784e-05,7.08784e-05,7.08784e-05
98,6367.69,0.83529,0.9785,1.41673,0.49053,0.49731,0.4056,0.33103,1.15665,1.28288,1.53389,5.67313e-05,5.67313e-05,5.67313e-05
99,6431.87,0.81333,0.95858,1.40013,0.48721,0.49411,0.40672,0.33184,1.1522,1.27584,1.52662,4.25842e-05,4.25842e-05,4.25842e-05
100,6502.72,0.8208,0.96736,1.39566,0.48883,0.49627,0.40656,0.33071,1.14563,1.27027,1.52113,2.84371e-05,2.84371e-05,2.84371e-05
