epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.029,1.3165,2.13895,1.7627,0.52882,0.22147,0.21663,0.11901,2.20113,2.57617,2.71212,0.000473865,0.000473865,0.000473865
2,190.558,1.30748,1.70142,1.75087,0.88621,0.27797,0.26811,0.14791,2.0786,2.69594,2.54346,0.000940792,0.000940792,0.000940792
3,277.406,1.29248,1.59517,1.75059,0.95278,0.29441,0.32095,0.21632,1.75277,2.21078,2.26841,0.00139829,0.00139829,0.00139829
4,364.621,1.25058,1.54734,1.73352,0.80726,0.21808,0.1577,0.06045,2.46911,2.77314,2.84193,0.00138656,0.00138656,0.00138656
5,451.884,1.20453,1.49581,1.69815,0.96193,0.26893,0.31338,0.21585,1.79377,2.17323,2.27167,0.00137241,0.00137241,0.00137241
6,538.125,1.17123,1.43447,1.66421,0.34343,0.36375,0.34211,0.27502,1.56312,1.74497,1.99682,0.00135826,0.00135826,0.00135826
7,624.798,1.14746,1.40295,1.63917,0.95695,0.29718,0.33534,0.25701,1.58454,1.83322,1.98889,0.00134412,0.00134412,0.00134412
8,712.009,1.10519,1.35227,1.61044,0.7384,0.30031,0.32844,0.25042,1.67582,1.87126,2.05959,0.00132997,0.00132997,0.00132997
9,798.726,1.08806,1.32107,1.59384,0.28969,0.36128,0.34526,0.27533,1.48787,1.67543,1.94789,0.00131582,0.00131582,0.00131582
10,885.419,1.06384,1.30289,1.57609,0.33333,0.35824,0.34486,0.27045,1.52569,1.66764,1.94908,0.00130168,0.00130168,0.00130168
11,973.317,1.05957,1.3037,1.57033,0.37956,0.38257,0.35528,0.28248,1.50587,1.6599,1.92618,0.00128753,0.00128753,0.00128753
12,1060.09,1.044,1.28314,1.56097,0.34859,0.3987,0.34297,0.27615,1.51051,1.73882,1.90748,0.00127338,0.00127338,0.00127338
13,1146.91,1.03188,1.26148,1.55086,0.37921,0.36508,0.36017,0.28691,1.46548,1.57612,1.86199,0.00125923,0.00125923,0.00125923
14,1233.2,1.01716,1.25014,1.54231,0.40176,0.40449,0.36739,0.28939,1.49404,1.65482,1.91429,0.00124509,0.00124509,0.00124509
15,1319.81,1.013,1.24189,1.53409,0.36584,0.41009,0.35907,0.28815,1.47977,1.60357,1.84732,0.00123094,0.00123094,0.00123094
