epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,1406.2,0.99097,1.21671,1.52206,0.39801,0.41347,0.35796,0.27747,1.51709,1.73411,1.90857,0.00121679,0.00121679,0.00121679
17,1492.54,0.99186,1.21281,1.51849,0.3539,0.37566,0.35525,0.29115,1.37503,1.50055,1.80318,0.00120265,0.00120265,0.00120265
18,1579.54,0.98516,1.20338,1.51051,0.37764,0.39879,0.36272,0.30034,1.36289,1.48867,1.77099,0.0011885,0.0011885,0.0011885
19,1666.3,0.96953,1.18068,1.4969,0.38441,0.40157,0.36025,0.27898,1.45064,1.61673,1.8441,0.00117435,0.00117435,0.00117435
20,1753.28,0.95396,1.174,1.49015,0.35191,0.39536,0.35693,0.2979,1.35152,1.54693,1.752,0.00116021,0.00116021,0.00116021
21,1839.65,0.95095,1.16483,1.48786,0.38359,0.41383,0.37066,0.29715,1.36565,1.49693,1.73323,0.00114606,0.00114606,0.00114606
22,1920.62,0.94833,1.15724,1.47793,0.40418,0.41888,0.37653,0.30791,1.35008,1.50384,1.72748,0.00113191,0.00113191,0.00113191
23,1997.15,0.95226,1.14954,1.48354,0.39528,0.43148,0.37152,0.30658,1.31771,1.46193,1.739,0.00111776,0.00111776,0.00111776
24,2073.16,0.92916,1.13213,1.46583,0.40185,0.42872,0.37747,0.3095,1.34863,1.5062,1.74435,0.00110362,0.00110362,0.00110362
25,2150.28,0.93974,1.13593,1.47901,0.43753,0.42726,0.37971,0.30343,1.31603,1.48648,1.72067,0.00108947,0.00108947,0.00108947
26,2228.01,0.93427,1.14004,1.47107,0.412,0.42869,0.3737,0.31402,1.30163,1.48425,1.71325,0.00107532,0.00107532,0.00107532
27,2303.7,0.92157,1.12314,1.45966,0.42522,0.44119,0.38538,0.31869,1.28692,1.37231,1.65199,0.00106118,0.00106118,0.00106118
28,2380.38,0.90246,1.1092,1.44569,0.40342,0.44443,0.3709,0.31283,1.29086,1.40688,1.67293,0.00104703,0.00104703,0.00104703
29,2457.6,0.91333,1.11898,1.4511,0.43374,0.44471,0.38456,0.31645,1.28215,1.41633,1.67345,0.00103288,0.00103288,0.00103288
30,2534.19,0.92831,1.1221,1.46129,0.42928,0.44137,0.38099,0.31717,1.25624,1.36663,1.67087,0.00101873,0.00101873,0.00101873
31,2610.66,0.91005,1.08972,1.45118,0.418,0.42867,0.38106,0.31639,1.23707,1.39555,1.64403,0.00100459,0.00100459,0.00100459
32,2688.39,0.895,1.08305,1.43623,0.3973,0.43789,0.37415,0.31337,1.25426,1.38619,1.65077,0.00099044,0.00099044,0.00099044
33,2766.58,0.88969,1.07695,1.43272,0.43046,0.42342,0.38248,0.30986,1.29449,1.38404,1.66884,0.000976293,0.000976293,0.000976293
34,2847.45,0.89671,1.07813,1.43731,0.48282,0.45464,0.39575,0.31751,1.28903,1.36824,1.70958,0.000962146,0.000962146,0.000962146
35,2932.08,0.89029,1.06692,1.42637,0.44371,0.44989,0.3889,0.31048,1.32102,1.41591,1.69725,0.000947999,0.000947999,0.000947999
36,3017.67,0.89133,1.06869,1.4297,0.44876,0.43685,0.38467,0.31129,1.27757,1.40082,1.6439,0.000933851,0.000933851,0.000933851
37,3106.29,0.87879,1.05684,1.42384,0.4464,0.46062,0.38902,0.31623,1.29082,1.37717,1.65633,0.000919704,0.000919704,0.000919704
38,3193.94,0.86979,1.05707,1.42141,0.45601,0.46574,0.3885,0.31635,1.30237,1.37263,1.71151,0.000905557,0.000905557,0.000905557
39,3283.18,0.86777,1.0455,1.41375,0.4462,0.44685,0.38773,0.31234,1.31771,1.3849,1.69309,0.00089141,0.00089141,0.00089141
40,3373.22,0.86575,1.03509,1.4062,0.46145,0.44398,0.40191,0.3259,1.29917,1.40706,1.67881,0.000877263,0.000877263,0.000877263
41,3457.06,0.86258,1.03498,1.40593,0.40827,0.45113,0.3745,0.30324,1.36035,1.49128,1.72211,0.000863116,0.000863116,0.000863116
42,3548.34,0.86123,1.02293,1.40987,0.41254,0.43587,0.38884,0.31813,1.25737,1.30018,1.63321,0.000848969,0.000848969,0.000848969
43,3646.98,0.84663,1.01468,1.40307,0.42813,0.45904,0.3876,0.32145,1.26326,1.36347,1.62549,0.000834822,0.000834822,0.000834822
44,3743.09,0.85199,1.0173,1.40197,0.46101,0.45918,0.39864,0.32449,1.25649,1.31881,1.63131,0.000820675,0.000820675,0.000820675
45,3848.92,0.8496,1.02676,1.4019,0.43497,0.46212,0.40061,0.32428,1.254,1.37008,1.633,0.000806528,0.000806528,0.000806528
46,3952.99,0.84186,1.01169,1.39658,0.45875,0.42811,0.38841,0.31499,1.29901,1.34134,1.67511,0.00079238,0.00079238,0.00079238
47,4051.14,0.84495,1.00183,1.39682,0.44625,0.45384,0.39063,0.32312,1.21993,1.3064,1.58744,0.000778233,0.000778233,0.000778233
48,4150.05,0.84157,1.00531,1.39629,0.43331,0.45168,0.38555,0.32136,1.23639,1.32145,1.60237,0.000764086,0.000764086,0.000764086
49,4245.94,0.82245,0.98361,1.37762,0.42879,0.45285,0.39368,0.32075,1.29365,1.4026,1.65851,0.000749939,0.000749939,0.000749939
50,4327.65,0.84008,1.00185,1.3867,0.44319,0.4668,0.39686,0.32378,1.25005,1.30816,1.61764,0.000735792,0.000735792,0.000735792
51,4419.02,0.82551,0.98446,1.38112,0.46331,0.43744,0.39532,0.3206,1.25124,1.36188,1.61779,0.000721645,0.000721645,0.000721645
52,4505.08,0.82832,0.98682,1.38088,0.4416,0.44377,0.40487,0.33138,1.25283,1.31983,1.61444,0.000707498,0.000707498,0.000707498
53,4596.64,0.82701,0.97511,1.38161,0.46866,0.45993,0.39789,0.31922,1.23622,1.31315,1.62993,0.000693351,0.000693351,0.000693351
54,4698.68,0.81875,0.97216,1.37871,0.4612,0.44991,0.39467,0.32826,1.19126,1.27786,1.56614,0.000679204,0.000679204,0.000679204
55,4796.18,0.80982,0.95867,1.36496,0.46704,0.46908,0.39449,0.32136,1.22705,1.32633,1.61681,0.000665057,0.000665057,0.000665057
56,4892.78,0.82286,0.9642,1.37531,0.48253,0.45859,0.40415,0.32822,1.2212,1.25767,1.59927,0.000650909,0.000650909,0.000650909
57,4990.06,0.806,0.95018,1.36426,0.45928,0.464,0.40048,0.33288,1.22417,1.29508,1.59295,0.000636762,0.000636762,0.000636762
58,5082.25,0.81041,0.96012,1.37105,0.462,0.44325,0.38728,0.32598,1.21114,1.32578,1.59716,0.000622615,0.000622615,0.000622615
59,5179.82,0.80235,0.95083,1.35867,0.45402,0.45372,0.39487,0.33022,1.19085,1.2955,1.58359,0.000608468,0.000608468,0.000608468
60,5277.56,0.79942,0.94827,1.36095,0.45319,0.44768,0.3916,0.32294,1.25113,1.32497,1.62354,0.000594321,0.000594321,0.000594321
61,5377.56,0.80354,0.95144,1.35903,0.46621,0.45965,0.39875,0.33059,1.2295,1.28527,1.60883,0.000580174,0.000580174,0.000580174
62,5483.01,0.79544,0.93441,1.35682,0.46673,0.47259,0.40175,0.32765,1.24872,1.33473,1.61723,0.000566027,0.000566027,0.000566027
63,5587.19,0.79951,0.93467,1.35326,0.44933,0.4451,0.39372,0.32588,1.22596,1.3213,1.58891,0.00055188,0.00055188,0.00055188
64,5685.47,0.79605,0.93292,1.35485,0.46681,0.45906,0.39724,0.33217,1.22573,1.30494,1.60406,0.000537733,0.000537733,0.000537733
65,5775.79,0.7844,0.92664,1.3442,0.46789,0.44745,0.39785,0.32974,1.22719,1.3118,1.60321,0.000523586,0.000523586,0.000523586
66,5863.85,0.78419,0.92093,1.34256,0.49802,0.45573,0.40374,0.33236,1.22459,1.31045,1.60225,0.000509438,0.000509438,0.000509438
67,5958.22,0.781,0.92052,1.34121,0.46312,0.44594,0.39267,0.32815,1.2336,1.2834,1.60134,0.000495291,0.000495291,0.000495291
68,6054.73,0.78329,0.92096,1.3464,0.4535,0.46445,0.39546,0.32541,1.24778,1.32964,1.62413,0.000481144,0.000481144,0.000481144
69,6153.55,0.77945,0.92064,1.33904,0.47871,0.45005,0.40083,0.33149,1.25543,1.30844,1.63983,0.000466997,0.000466997,0.000466997
70,6232.73,0.7746,0.91095,1.3366,0.46117,0.46254,0.39618,0.32745,1.23931,1.32249,1.638,0.00045285,0.00045285,0.00045285
71,6308.85,0.76518,0.90132,1.32823,0.44701,0.43884,0.38992,0.33069,1.20687,1.30036,1.58831,0.000438703,0.000438703,0.000438703
72,6385.12,0.77025,0.90567,1.3393,0.45561,0.45617,0.39035,0.32949,1.19651,1.29611,1.57634,0.000424556,0.000424556,0.000424556
73,6462.59,0.76266,0.89822,1.32909,0.44525,0.44979,0.39544,0.32829,1.20802,1.32426,1.58484,0.000410409,0.000410409,0.000410409
74,6539.89,0.75823,0.89682,1.32685,0.46637,0.44524,0.39889,0.33374,1.20232,1.3161,1.58181,0.000396262,0.000396262,0.000396262
75,6617.08,0.7702,0.90378,1.33638,0.43447,0.4476,0.38879,0.3263,1.20207,1.32952,1.58012,0.000382115,0.000382115,0.000382115
76,6699.04,0.75512,0.88493,1.32062,0.45082,0.46254,0.39162,0.32942,1.20436,1.33897,1.57951,0.000367967,0.000367967,0.000367967
77,6779.3,0.75445,0.87873,1.321,0.45174,0.47122,0.39907,0.33188,1.20734,1.28215,1.59446,0.00035382,0.00035382,0.00035382
78,6856.67,0.75023,0.87432,1.31369,0.45796,0.44947,0.3963,0.3307,1.2027,1.32404,1.5795,0.000339673,0.000339673,0.000339673
79,6934.72,0.74465,0.8698,1.31217,0.4582,0.4461,0.39549,0.33226,1.19185,1.31034,1.56964,0.000325526,0.000325526,0.000325526
80,7015.92,0.748,0.87162,1.31467,0.43399,0.45135,0.39062,0.33172,1.17937,1.29177,1.56582,0.000311379,0.000311379,0.000311379
81,7094.29,0.74842,0.87372,1.31543,0.47092,0.4422,0.39399,0.3289,1.21024,1.28539,1.58653,0.000297232,0.000297232,0.000297232
82,7172.45,0.74495,0.86351,1.31183,0.48713,0.44509,0.39825,0.33412,1.19771,1.28365,1.56422,0.000283085,0.000283085,0.000283085
83,7250.93,0.74181,0.85376,1.30931,0.4464,0.46313,0.39916,0.33189,1.22104,1.28409,1.60183,0.000268938,0.000268938,0.000268938
84,7329.58,0.74728,0.86625,1.31771,0.46364,0.43133,0.39193,0.33165,1.18981,1.30274,1.55665,0.000254791,0.000254791,0.000254791
85,7408.37,0.7403,0.86276,1.3079,0.43183,0.47169,0.39816,0.33334,1.18109,1.29813,1.55554,0.000240644,0.000240644,0.000240644
86,7486.69,0.73023,0.85145,1.30518,0.44654,0.44493,0.39488,0.33225,1.1721,1.28735,1.55255,0.000226497,0.000226497,0.000226497
87,7564.19,0.73416,0.85008,1.30522,0.49438,0.44702,0.40635,0.33624,1.19383,1.27602,1.58629,0.000212349,0.000212349,0.000212349
88,7644,0.732,0.85165,1.30352,0.4382,0.45831,0.39645,0.32923,1.2022,1.29725,1.6028,0.000198202,0.000198202,0.000198202
89,7721.62,0.7313,0.85178,1.30469,0.47665,0.44892,0.40072,0.33315,1.19477,1.30561,1.5805,0.000184055,0.000184055,0.000184055
90,7799,0.72872,0.84824,1.29924,0.47552,0.43523,0.39619,0.33314,1.22555,1.32838,1.5988,0.000169908,0.000169908,0.000169908
91,7873.04,0.85927,1.01828,1.44278,0.45558,0.45617,0.39706,0.33169,1.22146,1.30371,1.61445,0.000155761,0.000155761,0.000155761
92,7947.48,0.82608,0.94455,1.3996,0.44589,0.46097,0.39315,0.33212,1.20562,1.3065,1.59269,0.000141614,0.000141614,0.000141614
93,8022.13,0.82056,0.93615,1.40101,0.46283,0.45198,0.39755,0.33074,1.19941,1.30935,1.58071,0.000127467,0.000127467,0.000127467
94,8096.45,0.8137,0.9388,1.39729,0.44578,0.47167,0.39218,0.32923,1.19544,1.32067,1.58903,0.00011332,0.00011332,0.00011332
95,8170.83,0.80675,0.924,1.38857,0.45332,0.46548,0.398,0.33117,1.20127,1.3303,1.59318,9.91726e-05,9.91726e-05,9.91726e-05
96,8245.68,0.79769,0.9127,1.37914,0.44782,0.46791,0.39775,0.33451,1.1999,1.31469,1.60204,8.50255e-05,8.50255e-05,8.50255e-05
97,8319.87,0.79589,0.90687,1.38171,0.46012,0.46843,0.3948,0.33059,1.19128,1.3117,1.59759,7.08784e-05,7.08784e-05,7.08784e-05
98,8393.7,0.79605,0.90556,1.37676,0.45904,0.46548,0.3945,0.33225,1.20328,1.31103,1.61409,5.67313e-05,5.67313e-05,5.67313e-05
99,8468.25,0.79223,0.89811,1.37725,0.44971,0.46137,0.3938,0.33203,1.20327,1.31429,1.61136,4.25842e-05,4.25842e-05,4.25842e-05
100,8542.84,0.79174,0.89815,1.37657,0.45092,0.45937,0.39564,0.33236,1.2041,1.30885,1.61185,2.84371e-05,2.84371e-05,2.84371e-05
